"","Año","Entidad","Sexo","TOTHOM"
"171",2016,"Sinaloa","No identificado",3
"172",2016,"Sonora","Hombre",568
"173",2016,"Sonora","Mujer",38
"174",2016,"Sonora","No identificado",24
"175",2016,"Tabasco","Hombre",252
"176",2016,"Tabasco","Mujer",14
"177",2016,"Tabasco","No identificado",17
"178",2016,"Tamaulipas","Hombre",706
"179",2016,"Tamaulipas","Mujer",135
"180",2016,"Tamaulipas","No identificado",11
"181",2016,"Tlaxcala","Hombre",66
"182",2016,"Tlaxcala","Mujer",12
"183",2016,"Tlaxcala","No identificado",5
"184",2016,"Veracruz","Hombre",1247
"185",2016,"Veracruz","Mujer",109
"186",2016,"Veracruz","No identificado",106
"187",2016,"Yucatán","Hombre",42
"188",2016,"Yucatán","Mujer",8
"189",2016,"Yucatán","No identificado",0
"190",2016,"Zacatecas","Hombre",493
"191",2016,"Zacatecas","Mujer",58
"192",2016,"Zacatecas","No identificado",1
"193",2017,"Aguascalientes","Hombre",74
"194",2017,"Aguascalientes","Mujer",9
"195",2017,"Aguascalientes","No identificado",0
"196",2017,"Baja California","Hombre",2078
"197",2017,"Baja California","Mujer",204
"198",2017,"Baja California","No identificado",30
"199",2017,"Baja California Sur","Hombre",676
"200",2017,"Baja California Sur","Mujer",91
"201",2017,"Baja California Sur","No identificado",21
"202",2017,"Campeche","Hombre",64
"203",2017,"Campeche","Mujer",6
"204",2017,"Campeche","No identificado",0
"205",2017,"Chiapas","Hombre",467
"206",2017,"Chiapas","Mujer",40
"207",2017,"Chiapas","No identificado",4
"208",2017,"Chihuahua","Hombre",1790
"209",2017,"Chihuahua","Mujer",210
"210",2017,"Chihuahua","No identificado",0
"211",2017,"Ciudad de México","Hombre",1055
"212",2017,"Ciudad de México","Mujer",98
"213",2017,"Ciudad de México","No identificado",0
"214",2017,"Coahuila","Hombre",214
"215",2017,"Coahuila","Mujer",28
"216",2017,"Coahuila","No identificado",0
"217",2017,"Colima","Hombre",701
"218",2017,"Colima","Mujer",69
"219",2017,"Colima","No identificado",43
"220",2017,"Durango","Hombre",198
"221",2017,"Durango","Mujer",16
"222",2017,"Durango","No identificado",2
"223",2017,"Guanajuato","Hombre",1263
"224",2017,"Guanajuato","Mujer",159
"225",2017,"Guanajuato","No identificado",1
"226",2017,"Guerrero","Hombre",2311
"227",2017,"Guerrero","Mujer",211
"228",2017,"Guerrero","No identificado",0
"229",2017,"Hidalgo","Hombre",184
"230",2017,"Hidalgo","Mujer",24
"231",2017,"Hidalgo","No identificado",6
"232",2017,"Jalisco","Hombre",1416
"233",2017,"Jalisco","Mujer",111
"234",2017,"Jalisco","No identificado",28
"235",2017,"México","Hombre",2056
"236",2017,"México","Mujer",292
"237",2017,"México","No identificado",12
"238",2017,"Michoacán","Hombre",1357
"239",2017,"Michoacán","Mujer",112
"240",2017,"Michoacán","No identificado",12
"241",2017,"Morelos","Hombre",575
"242",2017,"Morelos","Mujer",39
"243",2017,"Morelos","No identificado",8
"244",2017,"Nayarit","Hombre",308
"245",2017,"Nayarit","Mujer",40
"246",2017,"Nayarit","No identificado",1
"247",2017,"Nuevo León","Hombre",588
"248",2017,"Nuevo León","Mujer",25
"249",2017,"Nuevo León","No identificado",0
"250",2017,"Oaxaca","Hombre",862
"251",2017,"Oaxaca","Mujer",57
"252",2017,"Oaxaca","No identificado",42
"253",2017,"Puebla","Hombre",915
"254",2017,"Puebla","Mujer",112
"255",2017,"Puebla","No identificado",0
"256",2017,"Querétaro","Hombre",158
"257",2017,"Querétaro","Mujer",33
"258",2017,"Querétaro","No identificado",2
"259",2017,"Quintana Roo","Hombre",257
"260",2017,"Quintana Roo","Mujer",32
"261",2017,"Quintana Roo","No identificado",70
"262",2017,"San Luis Potosí","Hombre",463
"263",2017,"San Luis Potosí","Mujer",31
"264",2017,"San Luis Potosí","No identificado",11
"265",2017,"Sinaloa","Hombre",1473
"266",2017,"Sinaloa","Mujer",0
"267",2017,"Sinaloa","No identificado",0
"268",2017,"Sonora","Hombre",679
"269",2017,"Sonora","Mujer",37
"270",2017,"Sonora","No identificado",11
"271",2017,"Tabasco","Hombre",375
"272",2017,"Tabasco","Mujer",24
"273",2017,"Tabasco","No identificado",3
"274",2017,"Tamaulipas","Hombre",898
"275",2017,"Tamaulipas","Mujer",145
"276",2017,"Tamaulipas","No identificado",10
"277",2017,"Tlaxcala","Hombre",97
"278",2017,"Tlaxcala","Mujer",19
"279",2017,"Tlaxcala","No identificado",6
"280",2017,"Veracruz","Hombre",1773
"281",2017,"Veracruz","Mujer",138
"282",2017,"Veracruz","No identificado",97
"283",2017,"Yucatán","Hombre",35
"284",2017,"Yucatán","Mujer",3
"285",2017,"Yucatán","No identificado",0
"286",2017,"Zacatecas","Hombre",538
"287",2017,"Zacatecas","Mujer",120
"288",2017,"Zacatecas","No identificado",17
"289",2018,"Aguascalientes","Hombre",73
"290",2018,"Aguascalientes","Mujer",4
"291",2018,"Aguascalientes","No identificado",0
"292",2018,"Baja California","Hombre",2798
"293",2018,"Baja California","Mujer",278
"294",2018,"Baja California","No identificado",56
"295",2018,"Baja California Sur","Hombre",158
"296",2018,"Baja California Sur","Mujer",25
"297",2018,"Baja California Sur","No identificado",2
"298",2018,"Campeche","Hombre",63
"299",2018,"Campeche","Mujer",9
"300",2018,"Campeche","No identificado",0
"301",2018,"Chiapas","Hombre",560
"302",2018,"Chiapas","Mujer",35
"303",2018,"Chiapas","No identificado",1
"304",2018,"Chihuahua","Hombre",2027
"305",2018,"Chihuahua","Mujer",172
"306",2018,"Chihuahua","No identificado",0
"307",2018,"Ciudad de México","Hombre",1428
"308",2018,"Ciudad de México","Mujer",140
"309",2018,"Ciudad de México","No identificado",29
"310",2018,"Coahuila","Hombre",230
"311",2018,"Coahuila","Mujer",15
"312",2018,"Coahuila","No identificado",0
"313",2018,"Colima","Hombre",639
"314",2018,"Colima","Mujer",67
"315",2018,"Colima","No identificado",2
"316",2018,"Durango","Hombre",165
"317",2018,"Durango","Mujer",17
"318",2018,"Durango","No identificado",0
"319",2018,"Guanajuato","Hombre",2984
"320",2018,"Guanajuato","Mujer",305
"321",2018,"Guanajuato","No identificado",1
"322",2018,"Guerrero","Hombre",2242
"323",2018,"Guerrero","Mujer",227
"324",2018,"Guerrero","No identificado",1
"325",2018,"Hidalgo","Hombre",202
"326",2018,"Hidalgo","Mujer",28
"327",2018,"Hidalgo","No identificado",0
"328",2018,"Jalisco","Hombre",2197
"329",2018,"Jalisco","Mujer",204
"330",2018,"Jalisco","No identificado",16
"331",2018,"México","Hombre",2349
"332",2018,"México","Mujer",286
"333",2018,"México","No identificado",15
"334",2018,"Michoacán","Hombre",1448
"335",2018,"Michoacán","Mujer",152
"336",2018,"Michoacán","No identificado",23
"337",2018,"Morelos","Hombre",726
"338",2018,"Morelos","Mujer",54
"339",2018,"Morelos","No identificado",3
"340",2018,"Nayarit","Hombre",338
"341",2018,"Nayarit","Mujer",45
"342",2018,"Nayarit","No identificado",16
"343",2018,"Nuevo León","Hombre",732
"344",2018,"Nuevo León","Mujer",14
"345",2018,"Nuevo León","No identificado",0
"346",2018,"Oaxaca","Hombre",1045
"347",2018,"Oaxaca","Mujer",96
"348",2018,"Oaxaca","No identificado",31
"349",2018,"Puebla","Hombre",1169
"350",2018,"Puebla","Mujer",108
"351",2018,"Puebla","No identificado",0
"352",2018,"Querétaro","Hombre",181
"353",2018,"Querétaro","Mujer",22
"354",2018,"Querétaro","No identificado",2
"355",2018,"Quintana Roo","Hombre",556
"356",2018,"Quintana Roo","Mujer",58
"357",2018,"Quintana Roo","No identificado",160
"358",2018,"San Luis Potosí","Hombre",481
"359",2018,"San Luis Potosí","Mujer",27
"360",2018,"San Luis Potosí","No identificado",19
"361",2018,"Sinaloa","Hombre",1072
"362",2018,"Sinaloa","Mujer",0
"363",2018,"Sinaloa","No identificado",0
"364",2018,"Sonora","Hombre",816
"365",2018,"Sonora","Mujer",33
"366",2018,"Sonora","No identificado",8
"367",2018,"Tabasco","Hombre",510
"368",2018,"Tabasco","Mujer",25
"369",2018,"Tabasco","No identificado",35
"370",2018,"Tamaulipas","Hombre",938
"371",2018,"Tamaulipas","Mujer",110
"372",2018,"Tamaulipas","No identificado",46
"373",2018,"Tlaxcala","Hombre",110
"374",2018,"Tlaxcala","Mujer",17
"375",2018,"Tlaxcala","No identificado",6
"376",2018,"Veracruz","Hombre",1545
"377",2018,"Veracruz","Mujer",112
"378",2018,"Veracruz","No identificado",65
"379",2018,"Yucatán","Hombre",47
"380",2018,"Yucatán","Mujer",1
"381",2018,"Yucatán","No identificado",0
"382",2018,"Zacatecas","Hombre",591
"383",2018,"Zacatecas","Mujer",74
"384",2018,"Zacatecas","No identificado",21
"385",2019,"Aguascalientes","Hombre",94
"386",2019,"Aguascalientes","Mujer",7
"387",2019,"Aguascalientes","No identificado",1
"388",2019,"Baja California","Hombre",2562
"389",2019,"Baja California","Mujer",239
"390",2019,"Baja California","No identificado",64
"391",2019,"Baja California Sur","Hombre",69
"392",2019,"Baja California Sur","Mujer",13
"393",2019,"Baja California Sur","No identificado",2
"394",2019,"Campeche","Hombre",73
"395",2019,"Campeche","Mujer",3
"396",2019,"Campeche","No identificado",0
"397",2019,"Chiapas","Hombre",518
"398",2019,"Chiapas","Mujer",54
"399",2019,"Chiapas","No identificado",5
"400",2019,"Chihuahua","Hombre",2309
"401",2019,"Chihuahua","Mujer",245
"402",2019,"Chihuahua","No identificado",0
"403",2019,"Ciudad de México","Hombre",1424
"404",2019,"Ciudad de México","Mujer",120
"405",2019,"Ciudad de México","No identificado",0
"406",2019,"Coahuila","Hombre",266
"407",2019,"Coahuila","Mujer",22
"408",2019,"Coahuila","No identificado",0
"409",2019,"Colima","Hombre",662
"410",2019,"Colima","Mujer",82
"411",2019,"Colima","No identificado",6
"412",2019,"Durango","Hombre",157
"413",2019,"Durango","Mujer",10
"414",2019,"Durango","No identificado",3
"415",2019,"Guanajuato","Hombre",3167
"416",2019,"Guanajuato","Mujer",322
"417",2019,"Guanajuato","No identificado",51
"418",2019,"Guerrero","Hombre",1619
"419",2019,"Guerrero","Mujer",171
"420",2019,"Guerrero","No identificado",84
"421",2019,"Hidalgo","Hombre",272
"422",2019,"Hidalgo","Mujer",39
"423",2019,"Hidalgo","No identificado",41
"424",2019,"Jalisco","Hombre",2335
"425",2019,"Jalisco","Mujer",218
"426",2019,"Jalisco","No identificado",118
"427",2019,"México","Hombre",2522
"428",2019,"México","Mujer",321
"429",2019,"México","No identificado",16
"430",2019,"Michoacán","Hombre",1879
"431",2019,"Michoacán","Mujer",174
"432",2019,"Michoacán","No identificado",27
"433",2019,"Morelos","Hombre",941
"434",2019,"Morelos","Mujer",66
"435",2019,"Morelos","No identificado",12
"436",2019,"Nayarit","Hombre",153
"437",2019,"Nayarit","Mujer",15
"438",2019,"Nayarit","No identificado",15
"439",2019,"Nuevo León","Hombre",853
"440",2019,"Nuevo León","Mujer",36
"441",2019,"Nuevo León","No identificado",0
"442",2019,"Oaxaca","Hombre",1050
"443",2019,"Oaxaca","Mujer",116
"444",2019,"Oaxaca","No identificado",33
"445",2019,"Puebla","Hombre",1113
"446",2019,"Puebla","Mujer",68
"447",2019,"Puebla","No identificado",69
"448",2019,"Querétaro","Hombre",180
"449",2019,"Querétaro","Mujer",12
"450",2019,"Querétaro","No identificado",0
"451",2019,"Quintana Roo","Hombre",625
"452",2019,"Quintana Roo","Mujer",64
"453",2019,"Quintana Roo","No identificado",89
"454",2019,"San Luis Potosí","Hombre",470
"455",2019,"San Luis Potosí","Mujer",22
"456",2019,"San Luis Potosí","No identificado",2
"457",2019,"Sinaloa","Hombre",891
"458",2019,"Sinaloa","Mujer",5
"459",2019,"Sinaloa","No identificado",0
"460",2019,"Sonora","Hombre",1201
"461",2019,"Sonora","Mujer",76
"462",2019,"Sonora","No identificado",79
"463",2019,"Tabasco","Hombre",619
"464",2019,"Tabasco","Mujer",48
"465",2019,"Tabasco","No identificado",2
"466",2019,"Tamaulipas","Hombre",694
"467",2019,"Tamaulipas","Mujer",93
"468",2019,"Tamaulipas","No identificado",61
"469",2019,"Tlaxcala","Hombre",151
"470",2019,"Tlaxcala","Mujer",22
"471",2019,"Tlaxcala","No identificado",2
"472",2019,"Veracruz","Hombre",1550
"473",2019,"Veracruz","Mujer",117
"474",2019,"Veracruz","No identificado",21
"475",2019,"Yucatán","Hombre",31
"476",2019,"Yucatán","Mujer",2
"477",2019,"Yucatán","No identificado",0
"478",2019,"Zacatecas","Hombre",544
"479",2019,"Zacatecas","Mujer",65
"480",2019,"Zacatecas","No identificado",25
"481",2020,"Aguascalientes","Hombre",77
"482",2020,"Aguascalientes","Mujer",4
"483",2020,"Aguascalientes","No identificado",0
"484",2020,"Baja California","Hombre",2618
"485",2020,"Baja California","Mujer",261
"486",2020,"Baja California","No identificado",59
"487",2020,"Baja California Sur","Hombre",58
"488",2020,"Baja California Sur","Mujer",4
"489",2020,"Baja California Sur","No identificado",5
"490",2020,"Campeche","Hombre",80
"491",2020,"Campeche","Mujer",2
"492",2020,"Campeche","No identificado",0
"493",2020,"Chiapas","Hombre",424
"494",2020,"Chiapas","Mujer",41
"495",2020,"Chiapas","No identificado",2
"496",2020,"Chihuahua","Hombre",2427
"497",2020,"Chihuahua","Mujer",258
"498",2020,"Chihuahua","No identificado",0
"499",2020,"Ciudad de México","Hombre",1174
"500",2020,"Ciudad de México","Mujer",88
"501",2020,"Ciudad de México","No identificado",2
"502",2020,"Coahuila","Hombre",216
"503",2020,"Coahuila","Mujer",9
"504",2020,"Coahuila","No identificado",0
"505",2020,"Colima","Hombre",531
"506",2020,"Colima","Mujer",90
"507",2020,"Colima","No identificado",9
"508",2020,"Durango","Hombre",174
"509",2020,"Durango","Mujer",6
"510",2020,"Durango","No identificado",0
"511",2020,"Guanajuato","Hombre",3976
"512",2020,"Guanajuato","Mujer",413
"513",2020,"Guanajuato","No identificado",101
"514",2020,"Guerrero","Hombre",1291
"515",2020,"Guerrero","Mujer",140
"516",2020,"Guerrero","No identificado",3
"517",2020,"Hidalgo","Hombre",265
"518",2020,"Hidalgo","Mujer",33
"519",2020,"Hidalgo","No identificado",37
"520",2020,"Jalisco","Hombre",2091
"521",2020,"Jalisco","Mujer",207
"522",2020,"Jalisco","No identificado",324
"523",2020,"México","Hombre",2525
"524",2020,"México","Mujer",253
"525",2020,"México","No identificado",17
"526",2020,"Michoacán","Hombre",2180
"527",2020,"Michoacán","Mujer",229
"528",2020,"Michoacán","No identificado",24
"529",2020,"Morelos","Hombre",864
"530",2020,"Morelos","Mujer",48
"531",2020,"Morelos","No identificado",11
"532",2020,"Nayarit","Hombre",144
"533",2020,"Nayarit","Mujer",8
"534",2020,"Nayarit","No identificado",19
"535",2020,"Nuevo León","Hombre",819
"536",2020,"Nuevo León","Mujer",28
"537",2020,"Nuevo León","No identificado",0
"538",2020,"Oaxaca","Hombre",844
"539",2020,"Oaxaca","Mujer",95
"540",2020,"Oaxaca","No identificado",10
"541",2020,"Puebla","Hombre",875
"542",2020,"Puebla","Mujer",81
"543",2020,"Puebla","No identificado",25
"544",2020,"Querétaro","Hombre",190
"545",2020,"Querétaro","Mujer",11
"546",2020,"Querétaro","No identificado",0
"547",2020,"Quintana Roo","Hombre",586
"548",2020,"Quintana Roo","Mujer",63
"549",2020,"Quintana Roo","No identificado",0
"550",2020,"San Luis Potosí","Hombre",698
"551",2020,"San Luis Potosí","Mujer",31
"552",2020,"San Luis Potosí","No identificado",3
"553",2020,"Sinaloa","Hombre",766
"554",2020,"Sinaloa","Mujer",11
"555",2020,"Sinaloa","No identificado",1
"556",2020,"Sonora","Hombre",1415
"557",2020,"Sonora","Mujer",56
"558",2020,"Sonora","No identificado",114
"559",2020,"Tabasco","Hombre",551
"560",2020,"Tabasco","Mujer",42
"561",2020,"Tabasco","No identificado",7
"562",2020,"Tamaulipas","Hombre",597
"563",2020,"Tamaulipas","Mujer",61
"564",2020,"Tamaulipas","No identificado",49
"565",2020,"Tlaxcala","Hombre",105
"566",2020,"Tlaxcala","Mujer",15
"567",2020,"Tlaxcala","No identificado",0
"568",2020,"Veracruz","Hombre",1340
"569",2020,"Veracruz","Mujer",113
"570",2020,"Veracruz","No identificado",12
"571",2020,"Yucatán","Hombre",49
"572",2020,"Yucatán","Mujer",5
"573",2020,"Yucatán","No identificado",0
"574",2020,"Zacatecas","Hombre",941
"575",2020,"Zacatecas","Mujer",92
"576",2020,"Zacatecas","No identificado",32
